TRANSACTION_DT,CUSTOMER_ID,PRODUCT_ID
11/1/2000,1104905,4710857472535
11/1/2000,1104905,4710043654103
11/1/2000,1104905,4710126092129
11/1/2000,1104905,4710176021445
11/1/2000,418683,4710126092129
11/1/2000,418683,78895770025
11/1/2000,418683,4710199010372
11/1/2000,418683,4710857472535
11/1/2000,1057331,4710043654103
11/1/2000,1057331,4710192225520
11/1/2000,1057331,4712936888817
11/1/2000,1057331,4710176021445
11/1/2000,1057331,4710199010372
11/1/2000,1057331,78895770025
11/1/2000,1849332,4710176021445
11/1/2000,1849332,4710192225520
11/1/2000,1849332,4710126092129
11/1/2000,1849332,78895770025
11/1/2000,1849332,4710199010372
11/1/2000,1981995,4710043654103
11/1/2000,1981995,4710199010372
11/1/2000,1741797,4710126092129
11/1/2000,1741797,4710176021445
11/1/2000,308359,78895770025
11/1/2000,308359,4710199010372
11/1/2000,308359,4710126092129
11/1/2000,1607000,4710176021445
11/1/2000,1607000,20000102818
11/1/2000,1607000,4710192225520
11/1/2000,1607000,4710043654103
11/1/2000,1607000,4710199010372
11/1/2000,1607000,78895770025
11/1/2000,1034561,4710199010372
11/1/2000,1034561,4710043654103
11/1/2000,1034561,78895770025
11/1/2000,236645,4710043654103
11/1/2000,236645,4710199010372
11/1/2000,1173741,4710199010372
11/1/2000,1173741,4710043654103
11/1/2000,1173741,78895770025
11/1/2000,768566,4710857472535
11/1/2000,768566,4710126092129
11/1/2000,768566,4710583910004
11/1/2000,768566,4710043654103
11/1/2000,768566,4902520162847
11/1/2000,768566,4712936888817
11/1/2000,768566,4710734001346
11/1/2000,768566,4710176021445
11/1/2000,2116334,4710583910004
11/1/2000,2116334,4710857472535
11/1/2000,2116334,4712936888817
11/1/2000,2116334,4710176021445
11/1/2000,2116334,4710734001346
11/1/2000,2116334,4710043654103
11/1/2000,2116334,78895770025
11/1/2000,2116334,4710192225520
11/1/2000,2116334,4902520162847
11/1/2000,2116334,4710126092129
11/1/2000,1327205,4710199010372
11/1/2000,2144702,4710199010372
11/1/2000,2144702,78895770025
11/1/2000,2144702,4710126092129
11/1/2000,1634518,4710043654103
11/1/2000,1634518,4710126092129
11/1/2000,1634518,4710857472535
11/1/2000,1634518,78895770025
11/1/2000,217361,4710199010372
11/1/2000,217361,78895770025
11/1/2000,1004373,4710043654103
11/1/2000,1004373,78895770025
11/1/2000,1004373,4710199010372
11/1/2000,841528,4710176021445
11/1/2000,841528,4710199010372
11/1/2000,841528,4710043654103
